URL,Kód odpovědi,Chyba související se Zprávami,Zjištěno,Kategorie,Platforma,Naposledy procházeno
http://activate.etnetera.cz/novinky/nas-tym/msa,404,,17.7.15,Nenalezeno,Počítač,31.8.15
http://activate.etnetera.cz/nas-tym/feed/,404,,6.9.15,Nenalezeno,Počítač,6.9.15
http://activate.etnetera.cz/novinky/portfolio,404,,11.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/49767-nokia/,404,,16.9.15,Nenalezeno,Počítač,16.9.15
http://activate.etnetera.cz/reference/43642-ref_allianz.html,404,,14.9.15,Nenalezeno,Počítač,14.9.15
http://activate.etnetera.cz/en/nas_tym/48679-marek_kulkovsky.html,404,,26.8.15,Nenalezeno,Počítač,26.8.15
http://activate.etnetera.cz/novinky/?pos=40,404,,14.9.15,Nenalezeno,Počítač,14.9.15
http://activate.etnetera.cz/cz/home/index.html,404,,23.9.14,Nenalezeno,Počítač,12.8.15
http://activate.etnetera.cz/nas-tym/pavel-pechman.html,404,,10.5.15,Nenalezeno,Počítač,27.8.15
http://activate.etnetera.cz/nas-tym/lukas-cech.html,404,,9.9.15,Nenalezeno,Počítač,9.9.15
http://activate.etnetera.cz/nas-tym/michaela-novakova.html,404,,8.9.15,Nenalezeno,Počítač,8.9.15
http://activate.etnetera.cz/kcontacts/,404,,4.9.15,Nenalezeno,Počítač,4.9.15
http://activate.etnetera.cz/48831-spravny_krok/,404,,6.9.15,Nenalezeno,Počítač,6.9.15
http://activate.etnetera.cz/nas-tym/martin-sajal.html,404,,4.9.15,Nenalezeno,Počítač,4.9.15
http://activate.etnetera.cz/novinky/30137-activate_life_110221_certifikat_adwords.html,404,,26.7.15,Nenalezeno,Počítač,26.7.15
http://activate.etnetera.cz/nas-tym/lukas-hruska.html,404,,27.8.15,Nenalezeno,Počítač,27.8.15
http://activate.etnetera.cz/reference/nokia.html,404,,16.11.14,Nenalezeno,Počítač,3.7.15
http://activate.etnetera.cz/en/novinky/55031-activate_life_140731_seznam_a_penalizace.html,404,,15.8.15,Nenalezeno,Počítač,15.8.15
http://activate.etnetera.cz/wp-content/uploads/2014/09/p,404,,20.8.15,Nenalezeno,Počítač,20.8.15
http://activate.etnetera.cz/novinky/23888-activate_life_100504_trychtyre_v_GA.html,404,,12.7.15,Nenalezeno,Počítač,12.7.15
http://activate.etnetera.cz/cz/reference/skoda.html,404,,14.8.15,Nenalezeno,Počítač,14.8.15
http://activate.etnetera.cz/cz/novinky/40735-activate_life_120926_web_expo_2012.html?utm_source=rss&utm_medium=rss,404,,14.8.15,Nenalezeno,Počítač,14.8.15
http://activate.etnetera.cz/personalizace-a-chytry-e-mailing,404,,4.6.15,Nenalezeno,Počítač,31.7.15
http://activate.etnetera.cz/novinky/povinny-dkim-na-seznam-cz-co-znamena-pro-marketery.html?hc_location=ufi,404,,6.9.15,Nenalezeno,Počítač,6.9.15
http://activate.etnetera.cz/cz/novinky/40739-activate_life_120523_Adobe_dm_summit_2012_1.html?utm_source=rss&utm_medium=rss,404,,13.8.15,Nenalezeno,Počítač,13.8.15
http://activate.etnetera.cz/cz/novinky/40738-activate_life_120528_Adobe_dm_summit_2012_2.html?utm_source=rss&utm_medium=rss,404,,13.8.15,Nenalezeno,Počítač,13.8.15
http://activate.etnetera.cz/cz/novinky/40737-activate_life_120601_Adobe_dm_summit_2012_3.html?utm_source=rss&utm_medium=rss,404,,13.8.15,Nenalezeno,Počítač,13.8.15
http://activate.etnetera.cz/cz/nase_sluzby/online-marketing.html,404,,26.6.15,Nenalezeno,Počítač,26.6.15
http://activate.etnetera.cz/novinky/53746-activate_life_140519_adobe_summit_2014_ohlednuti.html,404,,10.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,12.9.15
http://activate.etnetera.cz/novinky/poznamky-konference-e-business-forum-2014.html,404,,5.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,5.9.15
http://activate.etnetera.cz/novinky/53934-activate_life_140620_vylepsena_ecommerce_v_google_analytics.html,404,,6.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,6.9.15
http://activate.etnetera.cz/novinky/45926-activate_life_130430_uspejete_kdyz_vite_co_merit.html,404,,15.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,17.9.15
http://activate.etnetera.cz/novinky/40735-activate_life_120926_web_expo_2012.html,404,,14.7.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,4.9.15
http://activate.etnetera.cz/portfolio/datart/,404,,24.8.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,24.8.15
http://activate.etnetera.cz/novinky/21890-activate_life_091026_GAAC_shrnuti.html,404,,14.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,15.9.15
http://activate.etnetera.cz/novinky/40737-activate_life_120601_Adobe_dm_summit_2012_3.html,404,,16.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,17.9.15
http://activate.etnetera.cz/novinky/google-analytics-summit-2015.html,404,,5.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,5.9.15
http://activate.etnetera.cz/novinky/19236-activate_life_090609_gau.html,404,,15.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,16.9.15
http://activate.etnetera.cz/novinky/50083-activate_life_131030_etnetera_nabizi_analyzu_webu_zdarma.html,404,,3.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,17.9.15
http://activate.etnetera.cz/49736-skoda_auto/,404,,28.8.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,28.8.15
http://activate.etnetera.cz/48831-spravny_krok/,404,,30.10.14,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,23.8.15
http://activate.etnetera.cz/novinky/40737-activate_life_120601_adobe_dm_summit_2012_3.html,404,,18.9.15,Nenalezeno,Mobilní telefon s vylepšenými funkcemi,18.9.15
